Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
Chris,Smalling,4,0,123,2535,24,11
Phil,Jones,0,0,116,1973,11,15
Luke,Shaw,0,0,48,787,2,7
Marcos,Rojo,0,0,23,639,8,3
Antonio,Valencia,3,1,146,2741,22,16
Matteo,Darmian,0,0,27,443,3,3
Daley,Blind,0,0,28,360,0,4
Eric,Bailly,1,0,55,1000,6,7
Axel,Tuanzebe,0,0,1,1,0,0
Victor,Lindelöf,0,0,47,1284,14,5
Juan,Mata,3,5,100,1919,10,15
Marouane,Fellaini,4,0,47,611,1,4
Michael,Carrick,0,0,4,108,0,1
Ashley,Young,2,6,98,2444,26,9
Ander,Herrera,0,2,44,1257,14,5
Jesse,Lingard,8,6,128,1807,18,9
Anthony,Martial,9,6,125,1572,13,9
Paul,Pogba,6,13,138,2145,20,11
Scott,McTominay,0,0,21,629,3,4
Marcus,Rashford,7,5,104,1799,16,10
Romelu,Lukaku,16,7,162,2866,26,14
Andreas,Pereira,0,0,0,0,0,0
Zlatan,Ibrahimovic,0,0,5,102,2,0
Robert Kenedy,Nunes do Nascimento,2,2,51,1023,9,6
Islam,Slimani,1,1,25,369,4,1
Robert,Elliot,0,0,57,1440,21,3
Karl,Darlow,0,0,33,900,15,2
DeAndre,Yedlin,0,2,88,2842,37,7
Ciaran,Clark,2,1,64,1745,30,4
Jamaal,Lascelles,3,0,116,2927,31,9
Paul,Dummett,0,0,52,1602,18,5
Grant,Hanley,0,0,0,0,0,0
Jesús,Gámez Duarte,0,0,9,97,0,1
Florian,Lejeune,0,2,66,2103,32,5
Matt,Ritchie,3,7,116,2802,35,9
Jonjo,Shelvey,1,4,73,2264,30,6
Yoan,Gouffran,0,0,0,0,0,0
Mohamed,Diamé,2,0,70,2034,27,6
Jack,Colback,0,0,0,0,0,0
Christian,Atsu,2,4,78,1776,22,6
Dwight,Gayle,6,3,94,1946,31,6
Ayoze,Pérez,8,6,124,2486,28,8
Aleksandar,Mitrovic,1,0,10,89,0,0
Daryl,Murphy,0,0,0,0,0,0
Massadio,Haidara,0,0,1,3,0,0
Siem,de Jong,0,0,0,0,0,0
Rolando,Aarons,0,0,5,136,2,0
Javier,Manquillo,0,1,49,1757,31,4
Jacob,Murphy,1,2,51,1137,25,2
Jose Luis,Mato Sanmartín,4,1,69,1703,25,5
Chancel,Mbemba,0,0,20,670,11,1
Mikel,Merino,1,1,49,1337,18,3
Isaac,Hayden,1,0,41,1365,25,3
Henri,Saivet,1,0,8,83,2,0
Freddie,Woodman,0,0,0,0,0,0
Martin,Dubravka,0,0,53,1080,11,4
Alex,McCarthy,0,0,52,1620,26,4
Fraser,Forster,0,0,73,1800,30,4
Ryan,Bertrand,0,5,103,3135,49,8
Maya,Yoshida,2,1,76,2049,32,6
Matt,Targett,0,0,2,166,6,0
Cédric,Soares,0,3,85,2794,44,7
Jérémy,Pied,0,1,7,180,3,0
Jack,Stephens,2,0,58,1980,33,5
Sam,McQueen,0,0,14,142,2,1
Jan,Bednarek,1,0,22,427,5,2
Steven,Davis,3,2,71,1515,21,4
James,Ward-Prowse,3,5,84,1708,29,2
Dusan,Tadic,6,3,122,2791,43,10
Jordy,Clasie,0,0,0,0,0,0
Oriol,Romeu Vidal,1,0,68,2897,47,8
Pierre-Emile,Højbjerg,0,0,39,1666,30,3
Sofiane,Boufal,2,2,55,1206,24,1
Joshua,Sims,0,0,8,160,2,1
Nathan,Redmond,1,3,72,1938,31,7
Shane,Long,2,2,53,1570,28,4
Charlie,Austin,7,1,72,1024,15,4
Manolo,Gabbiadini,5,0,66,1067,17,4
Mario,Lemina,1,1,58,1715,31,4
Stuart,Taylor,0,0,0,0,0,0
Wesley,Hoedt,0,2,74,2520,42,5
Michael,Obafemi,0,0,1,8,0,0
Guido,Carrillo,0,1,15,449,8,1
Kurt,Zouma,1,0,87,2887,50,7
Jack,Butland,0,0,125,3150,61,6
Lee,Grant,0,0,5,270,7,0
Ryan,Shawcross,1,1,67,2371,40,5
Geoff,Cameron,0,0,33,1522,30,2
Erik,Pieters,0,1,71,2717,50,7
Marc,Muniesa,0,0,0,0,0,0
Glen,Johnson,0,0,5,546,14,0
Josh,Tymon,0,0,0,162,9,0
Joe,Allen,2,6,109,3139,55,6
Charlie,Adam,0,0,10,405,9,2
Glenn,Whelan,0,0,0,0,0,0
Ibrahim,Afellay,0,0,6,162,9,0
Xherdan,Shaqiri,8,9,155,3039,58,6
Giannelli,Imbula,0,0,0,0,0,0
Bojan,Krkic Perez,0,0,2,71,1,0
Ramadan,Sobhi,2,1,51,1227,30,2
Darren,Fletcher,1,1,67,2217,49,4
Peter,Crouch,5,2,73,1551,27,2
Mame Biram,Diouf,6,3,99,2592,49,8
Saido,Berahino,0,1,20,483,13,2
Kevin,Wimmer,0,0,19,1321,32,1
Eric Maxim,Choupo-Moting,5,5,107,2241,45,5
Jesé,Rodríguez Ruiz,1,1,31,609,17,1
Bruno,Martins Indi,0,0,20,1242,28,1
Harry,Souttar,0,0,0,0,0,0
Thomas,Edwards,0,0,6,481,15,0
Julien,Ngoy,0,0,1,19,2,0
Jakob,Haugaard,0,0,0,0,0,0
Stephen,Ireland,0,0,4,128,4,0
Moritz,Bauer,0,0,41,1307,18,5
Konstantinos,Stafylidis,0,0,6,334,6,0
Papa Alioune,Ndiaye,2,1,41,1138,17,2
Tyrese,Campbell,0,0,4,75,2,0
Lasse,Sorenson,0,1,5,75,1,0
